"app_id";"page_id";"item_name";"value_en";"value_cz";"value_sk";"value_pl";"value_hu"
770;0;"COLUMN_USER_LOGIN";"User Login";"Přihlášovací jméno";"Prihlásenie používateľa";"Login użytkownika";"Felhasználói bejelentkezés"
770;0;"COLUMN_USER_NAME";"User Name";"Uživatelské jméno";"Meno používateľa";"Nazwa użytkownika";"Felhasználó neve"
770;0;"COLUMN_USERS";"Users";"Uživatelé";"Používatelia";"Użytkownicy";"Felhasználók"
770;0;"COLUMN_VALUE_CZ";"CZ";"CZ";"CZ";"CZ";"CZ"
770;0;"COLUMN_VALUE_EN";"EN";"EN";"SK";"PL";"HU"
770;0;"COLUMN_VALUE_HU";"HU";"HU";"HU";"HU";"HU"
770;0;"COLUMN_VALUE_PL";"PL";"PL";"PL";"PL";"PL"
770;0;"COLUMN_VALUE_SK";"SK";"SK";"SK";"SK";"SK"
770;0;"FORM_SAVED";"Saved";"Uloženo";"Uložené";"Zapisane";"Megmentett"
770;0;"GRID_SAVE";"GRID_SAVE";"Uložit";"GRID_SAVE";"GRID_SAVE";"GRID_SAVE"
770;0;"GRID_SUCCESS";"SUCCESS_MESSAGE";"Uloženo";"SUCCESS_MESSAGE";"KOMUNIKAT_O SUKCESIE";"SUCCESS_MESSAGE"
770;0;"GROUP_CHECK";"Check";"Podívejte se na stránky .";"Skontrolujte stránku";"Sprawdź";"Ellenőrizze a  címet."
770;0;"GROUP_VALUES";"Values";"Hodnoty";"Hodnoty";"Wartości";"Értékek"
770;0;"LABEL_DATE_FRI";"Friday";"Pátek";"Piatok";"Piątek";"Péntek"
770;0;"LABEL_DATE_MON";"Monday";"Pondělí";"Pondelok";"Poniedziałek";"Hétfő"
770;0;"LABEL_DATE_SAT";"Saturday";"Sobota";"Sobota";"Sobota";"Szombat"
770;0;"LABEL_DATE_SUN";"Sunday";"Neděle";"Nedeľa";"Niedziela";"Vasárnap"
770;0;"LABEL_DATE_THU";"Thursday";"Čtvrtek";"Štvrtok";"Czwartek";"Csütörtök"
770;0;"LABEL_DATE_TODAY";"Today";"Dnes";"Dnes";"Dzisiaj";"Ma"
770;0;"LABEL_DATE_TUE";"Tuesday";"Úterý";"Utorok";"Wtorek";"Kedd"
770;0;"LABEL_DATE_WED";"Wednesday";"Středa";"Streda";"Środa";"Szerda"
770;0;"LABEL_DATE_YESTERDAY";"Yesterday";"Včera";"Včera";"Wczoraj";"Tegnap"
770;0;"LABEL_FILTER_DATE";"Filter Date";"Datum filtru";"Dátum filtra";"Data filtra";"Szűrés dátuma"
770;0;"LABEL_ITEM_NAME";"Item Name";"Název položky";"Názov položky";"Nazwa przedmiotu";"Tétel neve"
770;0;"LABEL_ITEM_TYPE";"Item Type";"Typ položky";"Typ položky";"Typ przedmiotu";"Tétel típusa"
770;0;"LABEL_LANG_ID";"Language";"Jazyk";"Jazyk";"Język";"Nyelv"
770;0;"LABEL_PAGE_ID";"Page Id";"Stránka";"Strana Id";"Strona Id";"Oldal Id"
770;0;"LABEL_USER_ID";"User Id";"Id uživatele";"Id používateľa";"Id użytkownika";"Felhasználói azonosító"
770;0;"LABEL_USER_LOGIN";"User Login";"Přihlášovací jméno";"Prihlásenie používateľa";"Login użytkownika";"Felhasználói bejelentkezés"
770;0;"LABEL_USER_NAME";"User Name";"Uživatelské jméno";"Meno používateľa";"Nazwa użytkownika";"Felhasználó neve"
770;0;"REGION_SETTINGS";"Settings";"Nastavení";"Nastavenia";"Ustawienia";"Beállítások"
770;0;"REGION_USER_APPS";"Applications";"Aplikace";"Aplikácie";"Aplikacje";"Alkalmazások"
770;0;"REGION_USER_ROLES";"User Roles";"Uživatelské role";"Používateľské roly";"Role użytkowników";"Felhasználói szerepkörök"
770;0;"REGION_USERS";"Users";"Uživatelé";"Používatelia";"Użytkownicy";"Felhasználók"
770;900;"BUTTON_CLOSE_SETTINGS";"Close Settings";"Zavřít nastavení";"Zatvoriť nastavenia";"Zamknij ustawienia";"Beállítások bezárása"
770;900;"BUTTON_PURGE_OLD";"Purge Old";"Zahodit staré";"Vyčistiť staré";"Wyczyść stare";"Tisztítsa meg a régi"
770;900;"BUTTON_SHOW_SETTINGS";"Settings";"Nastavení";"Nastavenia";"Ustawienia";"Beállítások"
770;900;"BUTTON_SHRINK";"Shrink";"Oříznout";"Zmenšovanie";"Skurcz";"Zsugorodó"
770;900;"HELP_BLACKLIST";"Logs matching all columns in setup table wont be logged, unless there is an error or you are in debug mode.";"Protokoly odpovídající všem sloupcům v tabulce nastavení nebudou zaznamenány, pokud nedojde k chybě nebo pokud nejste v režimu ladění.";"Protokoly zodpovedajúce všetkým stĺpcom v tabuľke nastavenia sa nebudú zaznamenávať, pokiaľ nedôjde k chybe alebo nie ste v režime ladenia.";"Logi pasujące do wszystkich kolumn w tabeli ustawień nie będą rejestrowane, chyba że wystąpi błąd lub użytkownik jest w trybie debugowania.";"A beállítási táblázat összes oszlopának megfelelő naplózások nem kerülnek naplózásra, kivéve, ha hiba történt, vagy ha hibakeresési módban vagy."
770;900;"HELP_DASHBOARD";"Overview of what is going on in the application in past few days.";"Přehled toho, co se v aplikaci děje v posledních dnech.";"Prehľad diania v aplikácii za posledných niekoľko dní.";"Przegląd wydarzeń w aplikacji w ciągu ostatnich kilku dni.";"Áttekintés arról, hogy mi történt az alkalmazásban az elmúlt néhány napban."
770;900;"PAGE_NAME";"Dashboard";"Přehled";"Prístrojová doska";"Tablica rozdzielcza";"Műszerfal"
770;900;"REGION_BLACKLIST";"Blacklist";"Černá listina";"Čierna listina";"Czarna lista";"Fekete lista"
770;900;"REGION_DASHBOARD";"Dashboard";"Přístrojová deska";"Prístrojová doska";"Tablica rozdzielcza";"Műszerfal"
770;901;"BUTTON_CLOSE_RECENT";"Close Recent";"Zavřít Nedávné";"Zavrieť Nedávne";"Zamknij Ostatnio";"Bezárás Legutóbbi"
770;901;"BUTTON_SHOW_RECENT_ONLY";"Recent Only";"Pouze v poslední době";"Len nedávno";"Tylko ostatnio";"Csak a közelmúltban"
770;901;"PAGE_NAME";"Logs";"Protokoly";"Protokoly";"Dzienniki";"Naplók"
770;902;"BUTTON_CLOSE_TREE";"Close";"Zavřít";"Zatvoriť";"Zamknij";"Zárja be a"
770;902;"PAGE_NAME";"Log ";"Přihlásit se";"Prihlásiť sa";"Dziennik Ustaw";"Napló"
770;905;"BUTTON_ACTION_START";"Start";"Start";"Štart";"Start";"Indítsa el a  oldalt."
770;905;"BUTTON_STOP_ALL";"Stop All";"Zastavit vše";"Zastaviť všetko";"Zatrzymaj wszystko";"Stop All"
770;905;"PAGE_NAME";"Jobs";"Úlohy";"Pracovné miesta";"Praca";"Munkahelyek"
770;905;"REGION_HISTORY";"History";"Historie";"História";"Historia";"Történelem"
770;905;"REGION_PLANNED";"Planned";"Plánované";"Plánované";"Planowane";"Tervezett"
770;905;"REGION_RUNNING";"Running";"Běh";"Beh";"Prowadzenie";"Futás"
770;910;"BUTTON_UPDATE_MVW";"Update Cache";"Aktualizace mezipaměti";"Aktualizácia vyrovnávacej pamäte";"Aktualizuj pamięć podręczną";"Cache frissítése"
770;910;"GROUP_ALLOWED_OPERATIONS";"Allowed Operations";"Povolené operace";"Povolené operácie";"Dozwolone operacje";"Engedélyezett műveletek"
770;910;"GROUP_COMPONENTS";"Components";"Komponenty";"Komponenty";"Elementy";"Alkatrészek"
770;910;"GROUP_FLAGS";"Flags";"Vlajky";"Vlajky";"Flagi";"Zászlók"
770;910;"GROUP_GRID_CHECKS";"Grid Checks";"Kontroly mřížky";"Kontroly siete";"Kontrole siatki";"Grid ellenőrzések"
770;910;"GROUP_GRID_HANDLER";"Grid Handler";"Obsluha mřížky";"Obsluha siete";"Obsługa siatki";"Grid Handler"
770;910;"GROUP_HIERARCHY";"Hierarchy";"Hierarchie";"Hierarchia";"Hierarchia";"Hierarchia"
770;910;"GROUP_PAGE_INFO";"Page Info";"Informace o stránce";"Informácie o stránke";"Informacje o stronie";"Oldal információ"
770;910;"GROUP_REGION_INFO";"Region Info";"Informace o regionu";"Informácie o regióne";"Informacje o regionie";"Regionális információk"
770;910;"GROUP_RELATED_OBJECT";"Related Object";"Související objekt";"Súvisiaci objekt";"Obiekt powiązany";"Kapcsolódó tárgy"
770;910;"GROUP_VISIBILITY";"Visibility";"Viditelnost";"Viditeľnosť";"Widoczność";"Láthatóság"
770;910;"HELP_NAVIGATION";"Pages available for the navigation. Set page order, parent and flags to your needs.";"Stránky dostupné pro navigaci. Nastavte si pořadí stránek, nadřazené stránky a příznaky podle svých potřeb.";"Stránky dostupné pre navigáciu. Nastavte si poradie stránok, nadradené stránky a príznaky podľa svojich potrieb.";"Strony dostępne do nawigacji. Ustaw kolejność stron, rodzica i flagi zgodnie z własnymi potrzebami.";"A navigációhoz rendelkezésre álló oldalak. Állítsa be az oldalak sorrendjét, szülőjét és a zászlókat az igényeinek megfelelően."
770;910;"HELP_PAGE_REGIONS";"List of page regions to ensure consistency and quality.";"Seznam oblastí stránek pro zajištění konzistence a kvality.";"Zoznam regiónov stránky na zabezpečenie konzistentnosti a kvality.";"Lista regionów stron w celu zapewnienia spójności i jakości.";"Az oldal régióinak listája a következetesség és a minőség biztosítása érdekében."
770;910;"PAGE_NAME";"Navigation";"Navigace";"Navigácia";"Nawigacja";"Navigáció"
770;910;"REGION_NAVIGATION";"Navigation";"Navigace";"Navigácia";"Nawigacja";"Navigáció"
770;910;"REGION_PAGE_REGIONS";"Page Regions";"Stránka Regiony";"Stránka Regióny";"Strona Regiony";"Oldal Régiók"
770;915;"BUTTON_SHOW_USER";"Show User";"Zobrazit uživatele";"Zobraziť používateľa";"Pokaż użytkownika";"Felhasználó megjelenítése"
770;915;"PAGE_NAME";"Sessions";"Relace";"Relácie";"Sesje";"Ülések"
770;920;"CHART_SESSIONS";"Sessions";"Relace";"Relácie";"Sesje";"Ülések"
770;920;"CHART_USERS";"Users";"Uživatelé";"Používatelia";"Użytkownicy";"Felhasználók"
770;920;"GROUP_AUTH_SCHEMES";"Auth Schemes";"Schémata ověřování";"Schémy overovania";"Systemy uwierzytelniania";"Auth-sémák"
770;920;"GROUP_CACHING";"Caching";"Ukládání do mezipaměti";"Ukladanie do vyrovnávacej pamäte";"Buforowanie";"Caching"
770;920;"GROUP_ROLES";"Roles";"Role";"Úlohy";"Role";"Szerepek"
770;920;"GROUP_USAGE";"Usage";"Použití";"Používanie";"Zastosowanie";"Használat"
770;920;"PAGE_NAME";"Users & Roles";"Uživatelé";"Používatelia";"Użytkownicy";"Felhasználók"
770;920;"REGION_AUTH_SCHEMES";"Auth Schemes & Roles";"Schémata ověřování";"Schémy overovania";"Systemy uwierzytelniania";"Auth-sémák"
770;920;"REGION_ROLES";"Application Roles";"Role aplikací";"Aplikačné role";"Role aplikacji";"Alkalmazási szerepkörök"
770;925;"GROUP_APPLICATION_INFO";"Application Info";"Informace o aplikaci";"Informácie o aplikácii";"Informacje o aplikacji";"Alkalmazási információ"
770;925;"GROUP_COMPONENTS";"Components";"Komponenty";"Komponenty";"Elementy";"Alkatrészek"
770;925;"GROUP_FLAGS";"Flags";"Vlajky";"Vlajky";"Flagi";"Zászlók"
770;925;"HELP_APPLICATIONS";"Applications in the same APEX workspace.";"Aplikace ve stejném pracovním prostoru APEX.";"Aplikácie v tom istom pracovnom priestore APEX.";"Aplikacje w tej samej przestrzeni roboczej APEX.";"Alkalmazások ugyanabban az APEX-munkatérben."
770;925;"HELP_AVAILABLE_APPS";"Applications which users can see on their page, if they have permissions to them.";"Aplikace, které mohou uživatelé vidět na své stránce, pokud k nim mají oprávnění.";"Aplikácie, ktoré môžu používatelia vidieť na svojej stránke, ak na ne majú oprávnenia.";"Aplikacje, które użytkownicy mogą zobaczyć na swojej stronie, jeśli mają do nich uprawnienia.";"Alkalmazások, amelyeket a felhasználók láthatnak az oldalukon, ha rendelkeznek jogosultságokkal."
770;925;"PAGE_NAME";"Applications";"Aplikace";"Aplikácie";"Aplikacje";"Alkalmazások"
770;925;"REGION_APPLICATIONS";"Applications";"Aplikace";"Aplikácie";"Aplikacje";"Alkalmazások"
770;925;"REGION_AVAILABLE_APPS";"Available Applications";"Dostupné aplikace";"Dostupné aplikácie";"Dostępne aplikacje";"Elérhető alkalmazások"
770;940;"HELP_EVENTS";"Business* events (separated from common logs) so you can track them independently<br />
and increase alertness of related people via Subscriptions.";"Obchodní* události (oddělené od běžných protokolů), abyste je mohli sledovat samostatně<br />
a zvýšit pozornost souvisejících osob prostřednictvím Odběrů.";"Obchodné* udalosti (oddelené od bežných protokolov), aby ste ich mohli sledovať nezávisle<br />
a zvýšiť upozornenie súvisiacich osôb prostredníctvom odberov.";"Zdarzenia biznesowe* (oddzielone od zwykłych dzienników), dzięki czemu można je śledzić niezależnie<br />
i zwiększać czujność powiązanych osób za pomocą Subskrypcji.";"Üzleti* események (elkülönítve a közös naplóktól), így azokat önállóan követheti<br />
és a kapcsolódó személyek figyelmét az Előfizetéseken keresztül növelheti."
770;940;"HELP_QUEUE";"Queued e-mails. We don't send e-mails right away.
";"E-maily ve frontě. E-maily neodesíláme ihned.
";"E-maily v poradí. E-maily neodosielame hneď.
";"Wiadomości e-mail oczekujące w kolejce. Nie wysyłamy wiadomości e-mail od razu.
";"Sorba állított e-mailek. Nem küldünk azonnal e-maileket.
"
770;940;"HELP_SCHEDULES";"Specify when the notifications will be send. Months can be numbers or ranges representing months separated with comma (1-12, 1-3, 4-6).Same rules apply to Days (1-31), but 31 is considered as last day of every month. Weekdays are similar (1-7 for Monday to Sunday) or MON, TUE, WED, THU, FRI, SAT, SUN names or even ranges (MON-FRI, SAT-SUN). Hours can be specified as 0-23, minutes as 0-59. Lists and ranges are also possible (hours: 0, 12 to send at midnight and noon or 8-17 to send in every hour during working hours) or (minutes: 0, 15, 30, 45 to send 4 times per hour). You can specify exact combination in Hours as HH:MM (from 00:00 to 23:59). Time is in server timezone. You must fill Minutes or Interval (number of minutes from last notification). Other fields are optional. Empty field (except Interval) represents any value. All fields in row must match to trigger the notification.";"Určete, kdy se budou oznámení odesílat. Měsíce mohou být čísla nebo rozsahy představující měsíce oddělené čárkou (1-12, 1-3, 4-6).Stejná pravidla platí pro dny (1-31), ale 31 se považuje za poslední den každého měsíce. Všední dny jsou podobné (1-7 pro pondělí až neděli) nebo názvy PO, ÚTERÝ, STŘEDA, ČTVRTEK, PÁTEK, SO, NE nebo dokonce rozsahy (PO-PÁ, SO-NE). Hodiny lze zadat jako 0-23, minuty jako 0-59. Možné jsou také seznamy a rozsahy (hodiny: (0, 12 pro odesílání o půlnoci a v poledne nebo 8-17 pro odesílání v každou hodinu během pracovní doby) nebo (minuty: 0, 15, 30, 45 pro odesílání 4x za hodinu). Přesnou kombinaci můžete zadat v Hodinách jako HH:MM (od 00:00 do 23:59). Čas je uveden v časovém pásmu serveru. Musíte vyplnit Minuty nebo Interval (počet minut od posledního oznámení). Ostatní pole jsou nepovinná. Prázdné pole (kromě Intervalu) představuje libovolnou hodnotu. Pro spuštění oznámení se musí shodovat všechna pole v řádku.";"Určite, kedy sa budú oznámenia odosielať. Mesiace môžu byť čísla alebo rozsahy predstavujúce mesiace oddelené čiarkou (1-12, 1-3, 4-6).Rovnaké pravidlá platia pre dni (1-31), ale 31 sa považuje za posledný deň každého mesiaca. Dni v týždni sú podobné (1-7 pre pondelok až nedeľu) alebo názvy MON, TUE, WED, THU, FRI, SAT, SUN alebo dokonca rozsahy (MON-FRI, SAT-SUN). Hodiny možno zadať ako 0-23, minúty ako 0-59. Možné sú aj zoznamy a rozsahy (hodiny: 0, 12 na odosielanie o polnoci a na poludnie alebo 8-17 na odosielanie každú hodinu počas pracovného času) alebo (minúty: 0, 15, 30, 45 na odosielanie 4-krát za hodinu). Presnú kombináciu v hodinách môžete zadať ako HH:MM (od 00:00 do 23:59). Čas je v časovom pásme servera. Musíte vyplniť Minúty alebo Interval (počet minút od posledného oznámenia). Ostatné polia sú nepovinné. Prázdne pole (okrem Intervalu) predstavuje akúkoľvek hodnotu. Všetky polia v riadku sa musia zhodovať, aby sa spustilo oznámenie.";"Określ, kiedy będą wysyłane powiadomienia. Miesiące mogą być liczbami lub zakresami reprezentującymi miesiące oddzielonymi przecinkiem (1-12, 1-3, 4-6). Te same zasady dotyczą dni (1-31), ale 31 jest traktowany jako ostatni dzień każdego miesiąca. Dni tygodnia są podobne (1-7 dla dni od poniedziałku do niedzieli) lub nazwy MON, TUE, WED, THU, FRI, SAT, SUN, a nawet zakresy (MON-FRI, SAT-SUN). Godziny można określić jako 0-23, minuty jako 0-59. Możliwe są również listy i zakresy (godziny: 0, 12, aby wysyłać o północy i w południe lub 8-17, aby wysyłać w każdej godzinie w godzinach pracy) lub (minuty: 0, 15, 30, 45, aby wysyłać 4 razy na godzinę). Dokładną kombinację można określić w formacie godzinowym jako GG:MM (od 00:00 do 23:59). Czas jest podany w strefie czasowej serwera. Należy wypełnić pola Minuty lub Interwał (liczba minut od ostatniego powiadomienia). Pozostałe pola są opcjonalne. Puste pola (oprócz Interwału) reprezentują dowolną wartość. Wszystkie pola w wierszu muszą się zgadzać, aby uruchomić powiadomienie.";"Adja meg, hogy az értesítések mikor kerüljenek elküldésre. A hónapok lehetnek számok vagy a hónapokat vesszővel elválasztott tartományok (1-12, 1-3, 4-6).Ugyanezek a szabályok vonatkoznak a napokra (1-31), de 31-et minden hónap utolsó napjának tekintjük. A hétköznapok hasonlóak (1-7 hétfőtől vasárnapig) vagy MON, TUE, WED, THU, FRI, SAT, SUN nevek vagy akár tartományok (MON-FRI, SAT-SUN). Az órákat 0-23, a perceket 0-59-ig lehet megadni. Listák és tartományok is megadhatók (órák: 0, 12 az éjfélkor és délben történő küldéshez vagy 8-17 a munkaidőben minden órában történő küldéshez) vagy (percek: 0, 15, 30, 45 az óránkénti négyszeri küldéshez). A pontos kombinációt az Órák HH:MM (00:00-tól 23:59-ig) formában is megadhatja. Az idő a szerver időzónájában van megadva. A Percek vagy az Intervallum (az utolsó értesítéstől számított percek száma) kitöltése kötelező. A többi mező nem kötelező. Az üres mező (az Intervallum kivételével) bármilyen értéket képvisel. A sor összes mezőjének egyeznie kell az értesítés elindításához."
770;940;"HELP_SUBSCRIPTIONS";"Subscribe role to event and send notifications based on schedule.
You can finetune recepients with Evaluation function.";"Přihlášení role k události a zasílání oznámení podle plánu.
Příjemce můžete doladit pomocí funkce Hodnocení.";"Prihlásenie role na udalosť a odosielanie oznámení na základe plánu.
Príjemcov môžete doladiť pomocou funkcie Hodnotenie.";"Zapisz rolę do wydarzenia i wysyłaj powiadomienia zgodnie z harmonogramem.
Odbiorców można dostosować za pomocą funkcji Ocena.";"Feliratkozás az eseményre és értesítések küldése az ütemezés alapján.
Az Értékelés funkcióval finomhangolhatja a címzetteket."
770;940;"HELP_TEMPLATES";"Templates mainly used for e-mails. You can use #TAGS# and replace them via Process function.
";"Šablony se používají hlavně pro e-maily. Můžete použít #TAGS# a nahradit je pomocí funkce Process.
";"Šablóny sa používajú najmä na e-maily. Môžete použiť #TAGS# a nahradiť ich prostredníctvom funkcie Process.
";"Szablony są używane głównie w wiadomościach e-mail. Można używać #TAGS# i zastępować je za pomocą funkcji Proces.
";"Elsősorban e-mailekhez használt sablonok. Használhatja a #TAGS#-okat és helyettesítheti őket a Process funkcióval.
"
770;940;"PAGE_NAME";"Events";"Události";"Podujatia";"Wydarzenia";"Események"
770;940;"REGION_EVENTS";"Events";"Události";"Podujatia";"Wydarzenia";"Események"
770;940;"REGION_EVENTS_LOG";"Events Log";"Protokol událostí";"Denník udalostí";"Dziennik zdarzeń";"Eseménynapló"
770;940;"REGION_QUEUE";"Queue";"Fronta";"Fronta";"Kolejka";"Sorban állás"
770;940;"REGION_SCHEDULES";"Schedules";"Rozvrhy";"Rozvrhy";"Harmonogramy";"Menetrendek"
770;940;"REGION_SUBSCRIPTIONS";"Subscriptions";"Odběry";"Predplatné";"Abonamenty";"Előfizetések"
770;940;"REGION_TEMPLATES";"Templates";"Šablony";"Šablóny";"Szablony";"Sablonok"
770;945;"BUTTON_AUTO_TRANSLATE";"Auto Translate";"Automatický překlad";"Automatický preklad";"Automatycznie tłumacz";"Automatikus fordítás"
770;945;"BUTTON_MOVE_LEFT";"Previous Page";"Předchozí stránka";"Predchádzajúca stránka";"Poprzednia strona";"Előző oldal"
770;945;"BUTTON_MOVE_RIGHT";"Next Page";"Další stránka";"Nasledujúca stránka";"Następna strona";"Következő oldal"
770;945;"BUTTON_PROCESS_ALL_ROWS";"Process All Rows";"Zpracovat všechny řádky";"Spracovať všetky riadky";"Przetwarzaj wszystkie wiersze";"Minden sor feldolgozása"
770;945;"COLUMN_ACTION_COPY";"Copy";"Kopírovat";"Kopírovať";"Kopia";"Másolás"
770;945;"COLUMN_ITEM_NAME";"Item Name";"Název položky";"Názov položky";"Nazwa przedmiotu";"Tétel neve"
770;945;"COLUMN_ITEM_TYPE";"Item Type";"Typ položky";"Typ položky";"Typ przedmiotu";"Tétel típusa"
770;945;"COLUMN_MESSAGE";"Message";"Zpráva";"Správa";"Wiadomość";"Üzenet"
770;945;"GROUP_TRANSLATION_INFO";"Translation Info";"Informace o překladu";"Informácie o preklade";"Informacje o tłumaczeniu";"Fordítás Info"
770;945;"HELP_MESSAGES";"Translate various messages mainly visible in users notifications (success/warning/error).";"Překlad různých zpráv viditelných hlavně v oznámeních uživatelů (úspěch/upozornění/chyba).";"Preklad rôznych správ viditeľných hlavne v oznámeniach používateľov (úspech/výstraha/chyba).";"Przetłumacz różne komunikaty widoczne głównie w powiadomieniach użytkowników (sukces/ostrzeżenie/błąd).";"Fordítson le különböző üzeneteket, amelyek elsősorban a felhasználói értesítésekben láthatók (siker/figyelmeztetés/hiba)."
770;945;"HELP_NEW_ITEMS";"The idea behind is to extract all important texts from pages (page names, region titles, help texts, buttons, column names, field labels...) and create relevant record in translation table<br />and also to automatically create items on page holding translations, so you can just start using these items instead of texts. Item names are based on static_id of the component or on its name.";"Cílem je extrahovat všechny důležité texty ze stránek (názvy stránek, názvy oblastí, texty nápovědy, tlačítka, názvy sloupců, popisky polí...) a vytvořit příslušný záznam v tabulce překladů<br />a také automaticky vytvořit položky na stránce, které obsahují překlady, takže můžete začít používat tyto položky místo textů. Názvy položek jsou založeny na static_id komponenty nebo na jejím názvu.";"Myšlienkou je extrahovať všetky dôležité texty zo stránok (názvy stránok, názvy oblastí, texty nápovedy, tlačidlá, názvy stĺpcov, označenia polí...) a vytvoriť príslušný záznam v tabuľke prekladov<br />a tiež automaticky vytvoriť položky na stránke, ktoré obsahujú preklady, takže môžete začať používať tieto položky namiesto textov. Názvy položiek sú založené na static_id komponentu alebo na jeho názve.";"Chodzi o to, by wyodrębnić wszystkie ważne teksty ze stron (nazwy stron, tytuły regionów, teksty pomocy, przyciski, nazwy kolumn, etykiety pól...) i utworzyć odpowiedni rekord w tabeli tłumaczeń<br />a także automatycznie utworzyć na stronie elementy zawierające tłumaczenia, tak by można było zacząć używać tych elementów zamiast tekstów. Nazwy elementów są oparte na static_id komponentu lub na jego nazwie.";"Az ötlet lényege, hogy az összes fontos szöveget kivonja az oldalakról (oldalnevek, régiócímek, súgószövegek, gombok, oszlopnevek, mezőcímkék...) és létrehozza a megfelelő rekordot a fordítási táblázatban<br />és automatikusan létrehozza a fordításokat tartalmazó elemeket az oldalon, így a szövegek helyett csak ezeket az elemeket használhatja. Az elemnevek a komponens static_id-jén vagy a komponens nevén alapulnak."
